EnvName,Framework,Filename,Template Action,Solution,Avg. Steps,Stochastic,Dialog,Darkness,Nonstandard Action,Inventory,Difficulty,Game,\# Rooms,Max Score,Maze,Trivia,Self-Maintenance,Combat,Time,Mechanical Puzzle,Persistence,Stochasticity,Forgiveness,Environment changes without agent's input,Distractor objects,Include,Notes
JerichoEnv905,jericho,905,7,22,22,FALSE,FALSE,FALSE,FALSE,FALSE,Possible,0.3784722222,2+,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Polite,,,TRUE,
JerichoEnvAcorncourt,jericho,acorncourt,17,17,8,FALSE,FALSE,FALSE,FALSE,FALSE,Possible,The Acorn Court,1,30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Merciful,,,TRUE,
JerichoEnvAdvent,jericho,advent,107,277,7,TRUE,FALSE,TRUE,TRUE,TRUE,Difficult,Adventure,30+,350,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Tough,,,TRUE,
JerichoEnvAdventureland,jericho,adventureland,23,170,13,TRUE,FALSE,TRUE,FALSE,TRUE,Possible,Adventureland,30+,100,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Tough,,,TRUE,
JerichoEnvAfflicted,jericho,afflicted,79,98,7,FALSE,FALSE,TRUE,FALSE,FALSE,Possible,Afflicted,10+,75,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Polite,,,TRUE,
JerichoEnvAnchor,jericho,anchor,1268,531,15,TRUE,TRUE,TRUE,FALSE,FALSE,Extreme,Anchorhead,30+,100,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Cruel,,,TRUE,
JerichoEnvAwaken,jericho,awaken,37,57,8,FALSE,FALSE,FALSE,FALSE,FALSE,Possible,The Awakening,30+,50,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Polite,,,TRUE,
JerichoEnvBalances,jericho,balances,30,122,12,FALSE,FALSE,TRUE,TRUE,FALSE,Difficult,Balances,10+,51,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Polite,,,TRUE,
JerichoEnvBallyhoo,jericho,ballyhoo,310,416,21,FALSE,TRUE,FALSE,FALSE,TRUE,Extreme,Ballyhoo,30+,300,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Tough,,,TRUE,
JerichoEnvCurses,jericho,curses,398,816,9,TRUE,TRUE,TRUE,FALSE,TRUE,Extreme,Curses,30+,550,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Polite,,,TRUE,
JerichoEnvCutthroat,jericho,cutthroat,185,336,34,TRUE,FALSE,TRUE,TRUE,TRUE,Extreme,Cutthroat,30+,250,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Polite,,,TRUE,
JerichoEnvDeephome,jericho,deephome,93,327,6,TRUE,TRUE,FALSE,TRUE,TRUE,Difficult,Deephome,10+,300,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Polite,,,TRUE,
JerichoEnvDetective,jericho,detective,19,51,2,FALSE,FALSE,FALSE,FALSE,FALSE,Possible,Detective,10+,360,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Cruel,,,TRUE,
JerichoEnvDragon,jericho,dragon,182,101,9,TRUE,FALSE,TRUE,FALSE,TRUE,Possible,Dragon Adventure,2+,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Merciful,,,TRUE,
JerichoEnvEnchanter,jericho,enchanter,151,265,15,TRUE,FALSE,TRUE,TRUE,TRUE,Extreme,Enchanter,30+,400,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Cruel,,,TRUE,
JerichoEnvEnter,jericho,enter,32,102,5,FALSE,TRUE,FALSE,FALSE,FALSE,Difficult,The Enterprise Incidents,10,10,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Merciful,,,TRUE,
JerichoEnvGold,jericho,gold,97,345,10,TRUE,TRUE,FALSE,FALSE,FALSE,Difficult,Goldilocks is a FOX!,30+,100,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Polite,,,TRUE,
JerichoEnvHhgg,jericho,hhgg,277,361,20,TRUE,TRUE,TRUE,FALSE,TRUE,Extreme,The Hitchhiker's Guide to the Galaxy,30+,100,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Cruel,,,TRUE,
JerichoEnvHollywood,jericho,hollywood,216,397,28,TRUE,FALSE,TRUE,FALSE,FALSE,Difficult,Hollywood Hijnx,10+,150,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Nasty,,,FALSE,Not including it since sometimes that game crashes.
JerichoEnvHuntdark,jericho,huntdark,45,67,67,FALSE,FALSE,FALSE,FALSE,FALSE,Difficult,Hunter in Darkness,10+,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Cruel,,,TRUE,
JerichoEnvInfidel,jericho,infidel,102,226,10,FALSE,FALSE,TRUE,FALSE,TRUE,Possible,Infidel,10+,400,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Cruel,,,TRUE,
JerichoEnvInhumane,jericho,inhumane,22,123,14,FALSE,FALSE,FALSE,FALSE,FALSE,Possible,Inhumane,10+,400,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Polite,,,TRUE,
JerichoEnvJewel,jericho,jewel,65,223,8,FALSE,TRUE,FALSE,FALSE,FALSE,Difficult,The Jewel of Knowledge,30+,90,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Tough,,,TRUE,
JerichoEnvKarn,jericho,karn,63,362,17,TRUE,TRUE,TRUE,FALSE,FALSE,Difficult,Return to Karn,30+,170,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Nasty,,,TRUE,
JerichoEnvLibrary,jericho,library,37,52,5,FALSE,TRUE,FALSE,TRUE,FALSE,Possible,All Quiet on the Library Front,2+,30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Merciful,,,TRUE,
JerichoEnvLoose,jericho,loose,311,51,5,FALSE,TRUE,FALSE,TRUE,FALSE,Possible,Mother Loose,10+,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Merciful,,,TRUE,
JerichoEnvLostpig,jericho,lostpig,1118,146,18,FALSE,TRUE,TRUE,FALSE,FALSE,Difficult,Lost Pig,2+,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Merciful,,,TRUE,
JerichoEnvLudicorp,jericho,ludicorp,45,364,4,FALSE,FALSE,FALSE,TRUE,TRUE,Difficult,The Ludicorp Mystery,30+,150,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Polite,,,TRUE,
JerichoEnvLurking,jericho,lurking,207,294,15,TRUE,TRUE,TRUE,FALSE,TRUE,Difficult,The Lurking Horror,10+,100,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Polite,,,TRUE,
JerichoEnvMoonlit,jericho,moonlit,70,59,59,FALSE,FALSE,FALSE,FALSE,FALSE,Possible,The Moonlit Tower,2+,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Merciful,,,TRUE,
JerichoEnvMurdac,jericho,murdac,10,304,4,TRUE,FALSE,TRUE,TRUE,TRUE,Difficult,Monsters of Murdac,30+,250,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Nasty,,,TRUE,
JerichoEnvNight,jericho,night,34,90,18,FALSE,TRUE,TRUE,TRUE,FALSE,Difficult,Night at the Computer Center,10+,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Merciful,,,TRUE,
JerichoEnvOmniquest,jericho,omniquest,37,78,13,FALSE,FALSE,TRUE,FALSE,FALSE,Possible,OMNIquest,2+,50,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Polite,,,TRUE,
JerichoEnvPartyfoul,jericho,partyfoul,81,56,56,TRUE,FALSE,FALSE,FALSE,FALSE,Difficult,Party Foul,2+,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Merciful,,,TRUE,
JerichoEnvPentari,jericho,pentari,32,34,5,TRUE,FALSE,FALSE,TRUE,FALSE,Possible,Pentari,2+,70,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Polite,,,TRUE,
JerichoEnvPlanetfall,jericho,planetfall,96,399,18,TRUE,FALSE,FALSE,FALSE,TRUE,Extreme,Planetfall,10+,80,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Polite,,,TRUE,
JerichoEnvPlundered,jericho,plundered,242,188,8,FALSE,FALSE,FALSE,FALSE,FALSE,Difficult,Plundered Hearts,10+,25,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Polite,,,TRUE,
JerichoEnvReverb,jericho,reverb,47,74,6,FALSE,TRUE,FALSE,FALSE,FALSE,Possible,Reverberations,10+,50,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Polite,,,TRUE,
